,Tweet,Subjectivity,Polarity,Sentiment
0,RT @monteskw: Previous CJI Hon'ble Legand Shri Bobde J Sir asked why we should give monetary help to migrant labourers when they are alread…,0.16666666666666666,-0.16666666666666666,Negative
1,Anti-vaxxer mistakes pub beer tent for Covid testing site and shouts at it https://t.co/cPqYl2yd4j via @MetroUK,0.0,0.0,Neutral
2,RT @BrianMitchellMP: So why was the Treasurer happy to waste between $10-$20 billion on JobKeeper payments to big corporations and exclusiv…,0.3666666666666667,0.20000000000000004,Positive
3,"RT @RealMattCouch: The average age of death from Covid is 78.6... 

But please, keep drinking the Koolaid...",0.39999999999999997,-0.15,Negative
4,RT @shark_mendy: @VizagRailways @MP_MvvOfficial @drbvsatyavathi @MadhaviGoddeti @ysjagan @VSReddy_MP @Visakhavaasi Few days back 08519/20 c…,0.05,-0.1,Negative
5,"RT @Vic_Rollison: I also wrote about how Morrison was the one who was responsible for turning covid into a state versus state, Victoria ver…",0.55,0.2,Positive
6,RT @GrahamAllen_1: BREAKING: W.H.O recommends masks and social distancing for both vaccinated &amp; unvaccinated  people due to the delta COVID…,0.22083333333333333,-0.04583333333333334,Negative
7,"RT @joncoopertweets: Last October, I quoted a GOP source with White House ties who told me Trump was much closer to death from Covid-19 tha…",0.08888888888888889,0.06666666666666667,Positive
8,RT @pwafork: Breaking: Australian researchers find Covid spike protein best designed to attack human cells after modelling ACE receptors of…,0.13333333333333333,0.3333333333333333,Positive
9,RT @mjrowland68: WA Premier @MarkMcGowanMP ‘We act quickly and with force. We don’t let it linger. We think that is the right approach.’…,0.5178571428571428,0.30952380952380953,Positive
10,RT @ProfPCDoherty: SARS-CoV-2 transmission is unpredictable because it seems to be down to 20% or so who are 'superspreaders'. Vic &amp; NSW ha…,0.6444444444444445,-0.16111111111111112,Negative
11,@josephkrengel @MaleehaCity I don’t care what needs to be done to get them back.  If the province/federal governmen… https://t.co/pcv1fkgejU,0.0,0.0,Neutral
12,"Covid vaccine for kids above 12 likely to be available by July-end or August: Govt
 https://t.co/VHwWk4Dlq7",0.5,0.13333333333333333,Positive
13,@Hafildaaaaa Positif covid,0.0,0.0,Neutral
14,"RT @armyspoke_news: 💊Burapha Force visited &amp;​ encouraged bedridden patients &amp;​ disabled people in Ban Mai Nong Sai Subdistrict, Aranyaprath…",0.3,-0.2,Negative
15,"10 "" it now appears that the COVID-19 pandemic may provide the dynamic for major political change""",0.25555555555555554,0.020833333333333332,Positive
16,@skk_74 @araybu1 @KendallRogers @NCStateBaseball Except player's personal insurance takes precedent and then the sc… https://t.co/TiYujVf4L9,0.3,0.0,Neutral
17,"RT @thedailybeast: “You don’t have to wear black and stay at home to mourn,” Amanda Kloots says. “Trust me, I mourn every single day... I h…",0.3238095238095238,-0.11904761904761904,Negative
18,"Post-Covid, it truly, truly is. https://t.co/sY6AIXo8Z3",0.0,0.0,Neutral
19,RT @nomsa_maseko: My mom told me a disturbing story about a white family that tested positive for covid but didn’t inform the helper. She w…,0.4484848484848485,-0.0909090909090909,Negative
20,RT @Billius27: Many have excuses as to why Australia’s cases are low. My theory is that Australia chose to fight every covid case from the…,0.4,0.25,Positive
21,@LuisAFi12201516 @KaoticSocialist @M4M4ALL so 1) photoshopped “I’m with her” stickers on the guy who ran against Ro… https://t.co/wPHLpIyiBw,0.0,0.0,Neutral
