,Name,User Name,Following,Followers,Tweet,Favorite,RT,created at,treated Tweet
0,En Bloc Press,@en_bloc_press,77,5798,Imagine advocating for fiat and cash currencies and then calling BTC “fraud-enabling” https://t.co/qBIj1dOJKi,16,1,2021-07-20 23:59:52,imagine advocate for fiat and cash currency and then call BTC '' fraud -enabling '' https://t.co/qbij1dojki 
1,luna || crypto to gcash ~ 3% fee,@gelendigkeit,1405,1697,"Hello, I do trades po 🍾ʚ BNB/BUSD to gcash ʚ USDT to gcashʚ TRX to gcashʚ BTC to gcashʚ XRP to gcashʚ ETH to gcashand any other cryptocurrency.3% fee, you can also borrow my crypto address to claim your prize ✿",1,1,2021-07-20 23:59:19,"hello , I do trade po 🍾ʚ BNB / BUSD to gcash ʚ USDT to gcash TRX to gcash BTC to gcash XRP to gcash ETH to gcashand any other cryptocurrency . 3 % fee , you can also borrow my crypto address to claim you prize '' "
2,T-Plex,@tplexapp,38,1060,I never thought I would have said that once in my trader’s life but I’m now holding 124 #BTC spot! I’m a shrimp compared to these whales but I’ve never been that comfy to hold this coin and #crypto gods know how much I hate it!,25,1,2021-07-20 23:58:57,I never think I would have say that once in my trader 's life but I be now hold 124 # BTC spot ! I be a shrimp compare to this whale but I have never be that comfy to hold this coin and # crypto god know how much I hate it ! 
3,Jonny Moe,@JonnyMoeTrades,592,21696,"$BTC first daily close under $30k since New Year's Day. Under the lows at $28750 will make me more confident, but I will be genuinely shocked if we don't test the low twenty thousands at this point. https://t.co/E7XCEXDTMh",22,1,2021-07-20 23:58:53,"$ BTC first daily close under $ 30 k since New Year 's Day . under the low at $ 28750 will make I more confident , but I will be genuinely shocked if we do not test the low twenty thousand at this point . https://t.co/e7xcexdtmh "
4,Gaurav Tripathi,@CryptoTripathi,138,3402,"The markets are still frothy, things are out of proportion. Fear still remains dominant in the market. For that same reason, I am still on the sideline for now as I don't think that $BTC bottom is in just yet. The fear is now spreading to the conventional stock market. https://t.co/fkOUjf2YHH",3,1,2021-07-20 23:58:45,"the market be still frothy , thing be out of proportion . fear still remain dominant in the market . for that same reason , I be still on the sideline for now as I do not think that $ BTC bottom be in just yet . the fear be now spread to the conventional stock market . https://t.co/fkoujf2yhh "
5,Trent Richards,@trentrichards1,597,616,July 2021 Team AMA - Part 1Metrix CEO @trentrichards1 answers questions from #Metrix Telegram community members. He dispels rumors and explains the current state of the project. The future is looking bright for $MRX!Link: https://t.co/T0V32f3Ds1#crypto #altcoins $BTC $BNB,32,17,2021-07-20 23:57:32,July 2021 team AMA - part 1 Metrix ceo @trentrichards1 answer question from # Metrix Telegram community member . he dispel rumor and explain the current state of the project . the future be look bright for $ mrx ! link : https://t.co/t0v32f3ds1#crypto # altcoin $ btc $ bnb 
6,pleb_Greg Foss 🇨🇦 / 🇸🇻🌋,@FossGregfoss,1056,26015,I have never been so driven to rectify a wrong (Fiat) in my life.Fiat punishes the less privileged.  Fiat promotes inequality.#btc solves this stuff.Let's support @IBEX_Mercado and El SalvadorScrew @steve_hanke .  He is a squid.,440,38,2021-07-20 23:56:19,I have never be so drive to rectify a wrong ( Fiat ) in my life . Fiat punish the less privileged . Fiat promote inequality .# btc solve this stuff . let we support @IBEX _ Mercado and El Salvador screw @steve_hanke . he be a squid . 
7,Kripto Aksiyon,@KriptoAksiyon,332,2643,🦅 Our analysis of #bitcoin coin by 1 hourly time frame. 🦾💲 Coin :  $btc #bitcoin #binance #altcoin #cryptocurrency #Crypto https://t.co/4LBIDGreA5,9,4,2021-07-20 23:55:19,🦅 we analysis of # bitcoin coin by 1 hourly time frame . 🦾💲 coin : $ btc # bitcoin # binance # altcoin # cryptocurrency # crypto https://t.co/4lbidgrea5 
8,iHodl 🟩⚡️⚡️,@iTweet14670008,667,349,"@eric_lombrozo @gillesCadignan Yes, Bitcoin will be attacked in the coming years.This was assumed from day one.  Bitcoin was designed to withstand attack.  From the code level to the conviction of the plebs, #BTC is anti fragile.If it can’t survive, we’re fucked anyways.",21,2,2021-07-20 23:53:44,"@eric_lombrozo @gilles Cadignan yes , Bitcoin will be attack in the come year . this be assume from day one . Bitcoin be design to withstand attack . from the code level to the conviction of the pleb , # BTC be anti fragile . if it can not survive , we be fuck anyways . "
9,Sgt. Michael Sykes,@sgt_sykes,232,42,"@nayibbukele Since you came to the agenda with BTC, I have been following you as a citizen from Turkey.  You are an excellent head of state who should be taken as an example in all aspects of the world.  Greetings from Turkey, Mr. Nayib.",7,2,2021-07-20 23:53:42,"@nayibbukele since you come to the agenda with BTC , I have be follow you as a citizen from Turkey . you be a excellent head of state who should be take as a example in all aspect of the world . greeting from Turkey , Mr. Nayib . "
