,Name,User Name,Following,Followers,Tweet,Favorite,RT,created at
0,En Bloc Press,@en_bloc_press,77,5798,Imagine advocating for fiat and cash currencies and then calling BTC “fraud-enabling” https://t.co/qBIj1dOJKi,16,1,2021-07-20 23:59:52
1,luna || crypto to gcash ~ 3% fee,@gelendigkeit,1405,1697,"Hello, I do trades po 🍾ʚ BNB/BUSD to gcash ʚ USDT to gcashʚ TRX to gcashʚ BTC to gcashʚ XRP to gcashʚ ETH to gcashand any other cryptocurrency.3% fee, you can also borrow my crypto address to claim your prize ✿",1,1,2021-07-20 23:59:19
2,T-Plex,@tplexapp,38,1060,I never thought I would have said that once in my trader’s life but I’m now holding 124 #BTC spot! I’m a shrimp compared to these whales but I’ve never been that comfy to hold this coin and #crypto gods know how much I hate it!,25,1,2021-07-20 23:58:57
3,Jonny Moe,@JonnyMoeTrades,592,21696,"$BTC first daily close under $30k since New Year's Day. Under the lows at $28750 will make me more confident, but I will be genuinely shocked if we don't test the low twenty thousands at this point. https://t.co/E7XCEXDTMh",22,1,2021-07-20 23:58:53
4,Gaurav Tripathi,@CryptoTripathi,138,3402,"The markets are still frothy, things are out of proportion. Fear still remains dominant in the market. For that same reason, I am still on the sideline for now as I don't think that $BTC bottom is in just yet. The fear is now spreading to the conventional stock market. https://t.co/fkOUjf2YHH",3,1,2021-07-20 23:58:45
5,Trent Richards,@trentrichards1,597,616,July 2021 Team AMA - Part 1Metrix CEO @trentrichards1 answers questions from #Metrix Telegram community members. He dispels rumors and explains the current state of the project. The future is looking bright for $MRX!Link: https://t.co/T0V32f3Ds1#crypto #altcoins $BTC $BNB,32,17,2021-07-20 23:57:32
6,pleb_Greg Foss 🇨🇦 / 🇸🇻🌋,@FossGregfoss,1056,26015,I have never been so driven to rectify a wrong (Fiat) in my life.Fiat punishes the less privileged.  Fiat promotes inequality.#btc solves this stuff.Let's support @IBEX_Mercado and El SalvadorScrew @steve_hanke .  He is a squid.,440,38,2021-07-20 23:56:19
7,Kripto Aksiyon,@KriptoAksiyon,332,2643,🦅 Our analysis of #bitcoin coin by 1 hourly time frame. 🦾💲 Coin :  $btc #bitcoin #binance #altcoin #cryptocurrency #Crypto https://t.co/4LBIDGreA5,9,4,2021-07-20 23:55:19
8,iHodl 🟩⚡️⚡️,@iTweet14670008,667,349,"@eric_lombrozo @gillesCadignan Yes, Bitcoin will be attacked in the coming years.This was assumed from day one.  Bitcoin was designed to withstand attack.  From the code level to the conviction of the plebs, #BTC is anti fragile.If it can’t survive, we’re fucked anyways.",21,2,2021-07-20 23:53:44
9,Sgt. Michael Sykes,@sgt_sykes,232,42,"@nayibbukele Since you came to the agenda with BTC, I have been following you as a citizen from Turkey.  You are an excellent head of state who should be taken as an example in all aspects of the world.  Greetings from Turkey, Mr. Nayib.",7,2,2021-07-20 23:53:42
10,JMac,@jmccart10,753,1879,Bearish BTC https://t.co/vwQjEFp8ft,4,1,2021-07-20 23:53:24
11,Welsh Wizard,@LeePric06833864,935,4622,@CryptoKaleo I thought you said we would NEVER see btc under 30k again But now it’s going to 29k 😂😂😂,33,1,2021-07-20 23:53:12
12,Nina Wright,@ninafx_,126,43561,The  accumulation Phase ain’t over$shib$ass$btc$eth $ada$hokk$xrp$link$matic$btc,160,25,2021-07-20 23:52:11
13,Metrix,@MetrixCoin,164,20281,July 2021 Team AMA - Part 1Metrix CEO @trentrichards1 answers questions from #Metrix Telegram community members. He dispels rumors and explains the current state of the project. The future is looking bright for $MRX!Link: https://t.co/I1bp5qOzfc#crypto #altcoins $BTC $BNB,38,18,2021-07-20 23:51:50
14,𝓖𝓸𝓭 𝓑𝓵𝓮𝓼𝓼 𝓨𝓸𝓾 🕊,@veazydoezit,64,170,@ladycryptonic @therealdogebtc 💎🕊EARN #BTC AS YOU #HODL https://t.co/Jqfz52jXe2 https://t.co/tfvmNEYthL#DogeBTC#cryptotrading #Cryptocurency #DOGE #BNB #BabyDoge #Crypto #cryptoart  #Binance #Bitcoin #CryptoNews #binancesmartchain #dogearmy #BSCGem #SAFU #DOGEBTCARMY https://t.co/bzngFxW1Qb,3,2,2021-07-20 23:51:11
15,The 5D Kid,@comicmatters,426,259,Converting a home deed into a non-fungible token (NFT) for the fiat value of the home.™️  Real Estate on the blockchain.  You heard it here first.  #eth #ethereum #btc.,2,1,2021-07-20 23:51:02
16,Airdrope Zone,@FAltcoine,1789,570,Last chance to buy  Modex token at a very cheap price Before listing on #Binance New audit technology listed on UiPath Marketplace#BSC #BinanceSmartChain #PancakeSwap #BSCGem #ETH #DeFi #BNB #blockchain #BTC #ethereum #Bitcoin #SOLANA #Crypto #Cryptocurency #trx #Uniswap https://t.co/66cGJdjM3V,4,2,2021-07-20 23:50:05
17,₳ Texas Mike from California ₳,@michaelruizbiz,2430,4936,"""Amp is valuable to be sold intra-network because it provides staking utility. In the event of hypothecation, Amp is autonomously sold to the open-market, and cyclically repurchased as rewards."" #amptoken $amp @FlexaHQ $doge $btc @amptoken https://t.co/pMyl52LbjW",7,2,2021-07-20 23:49:27
18,Cryptocademy,@CryptocademyHQ,2,2267,"Issue 42 of the Cryptocademy newsletter is out! 🔥An easy way to identify targets in a trending market and updates on $BTC, $ETH, $DOT, and more!https://t.co/zxep0xJwgT",33,4,2021-07-20 23:46:59
19,Shrew,@Shrewdotcom,244,4383,If you missed the AMA today then you can catch it in our pinned posts on TG. https://t.co/Pnssvg6vA4#ama #shrew #shrewcrew #blockchain #crypto #cryptocurrency #btc #bnb #bscgems #binance #cryptonews #cryptoupdates,15,6,2021-07-20 23:45:27
20,Dogecoin OG,@realDogecoinOG,504,7633,Pump on #Doge at the margin desks and the DOGE/BTC pair.  #Dogecoin #Dogearmy #DogeFam #DogeHouse,9,2,2021-07-20 23:45:07
21,Cointelegraph,@Cointelegraph,682,1098117,"You want the good news or bad news? #Bitcoin goes back to its pre-2021 level, leaving everyone speechless. The good news is that Binance order books are registering the strongest support level ever seen in crypto. https://t.co/znF1vVFzhX",241,50,2021-07-20 23:45:02
22,Travladd Crypto,@OfficialTravlad,306,175243,"Update: PimpDoge is one of the projects I believe could do really well. A potential 5-10x token with a good entry point now that we’ve had a dip and reloading up for the next leg back up. NFA,DYOR #ad. #bnb #bsc #btc #crypto #cryptonews https://t.co/LV2NkT8sKK",523,42,2021-07-20 23:43:36
23,Saitama Inu Español,@SaitamaInuLatin,533,81,We are the next launch Be ready nonstop direct flight to the moon#saitamainu #SaitamaInuWolfPack #SaitaMask #saitama #shiba #SHIBARMY #ShibaArmy #Dogecoinarmy #btc #Ethereum #ADA #SAFEMOONARMY https://t.co/YFdHRFTUb5 https://t.co/7vgDgj2zzn,13,4,2021-07-20 23:42:42
24,$SGE - KYHODL,@SGESPACEFORCE,178,3238,#SGE $SGE #cryptocurrency #cryptoartist #NFTcommuity #Polygon #Ethereum #nftcollector #NFTCommunity Also… #Defi each buy and sell burns and each holder continuously gains more tokens.. just by holding! #Crypto #altcoin #HODL #Bitcoin #btc #SAFEMOON #hoge https://t.co/dV3Z8B0ujV,7,2,2021-07-20 23:42:35
25,₿randon Crypto Trades & Tech (CTT),@Crypt0Jed1,128,3526,$BTC bear to the flag#NFA #VBTR #CTM🏄🌊 https://t.co/033Wh8ylQl,18,1,2021-07-20 23:42:18
26,MartyParty,@martypartymusic,18958,22485,New $BTC channel preaching short squeeze https://t.co/1FOY8EUp3Q,6,1,2021-07-20 23:40:11
27,Buğra Sukas,@bugrasukas,51,140160,"@deezy_BTC Let's thank deezy for asking fire questions today while we are dumping. I like to make crazy predictions and turn bullish when the price is going down before the ETF approval, Jack and Elon talk and bigger stimulus packages on the horizon. :D https://t.co/QVdxSqTWfQ",30,1,2021-07-20 23:40:11
28,Bitcoin Origins,@BitcoinOrigins,35,12945,Don't forget we are giving away a 4mb block from our M7 sale happening this Friday 10am PST There are only 42 of these blocks and they retail for $500 For your chance to win hit the link below 🚀https://t.co/tkdh99rbyp#NFTGiveaway #NFTs #NFT #Bitcoin #BTC #GiveawayAlert,17,2,2021-07-20 23:40:09
29,diamondj.btc,@jdiamo91,503,176,First @BlockFi card transaction today. Can't believe I earned #btc for buying a red bull. #Bitcoin #stackingsats,9,2,2021-07-20 23:39:57
30,Steve Hanke,@steve_hanke,6829,342654,"Many people believe #Bitcoin is the ""currency of the future."" However, Bitcoin's excessive volatility is a constant reminder that it can never be a reliable unit of account, &amp; thus can NEVER be considered a currency. #BTC is just a highly speculative asset.https://t.co/xV3kHM5IjK",483,87,2021-07-20 23:39:36
31,MillionToken | Jacuzzi on The Moon,@_MillionToken,117,1204,Hi guys my name is BiT BoY CrypTO and everyday I get paid to promote crappy projects that usually go down right after because of the owners minting new coins to enrich themselves.Hate me later. 😚#Crypto #Bitcoin #BTC #MillionToken #Ethereum https://t.co/lidPTZzDsk,56,18,2021-07-20 23:39:20
32,Sounds Nerdy,@sounds_nerdy,21,22,"Top Story today""Nearly $90 billion wiped off crypto market as bitcoin drops below $30,000"" - https://t.co/8wlXkKGXnCMore tech news athttps://t.co/lF7PKQQER1#tech #technology #technews #news #nerd #bitcoin #btc #crypto #Cryptocurency #CryptoCurrency #cryptocurrencies https://t.co/baEzsJE4IQ",4,2,2021-07-20 23:38:55
33,LiveFree_Or_FookOff,@LiveFreeFookOff,467,941,@devchart Why watch influencers when you can use VeroxAI app? $VRX $BNB $BTC im probably the only person in profit this month. Lmfao. @Verox_AICrypto https://t.co/WdEpvwRfc5,3,1,2021-07-20 23:38:49
34,METEHAN AKMAN,@METEHANAKMAN7,45,8,"@ng6023 @Marrakesh81 @traderseyma Woooow#FreeDoge #FreeDogetoken @FreeDogeToken1Which one do you think 50x 100x 1000x 0xfac1f65c835f0e2af6b77b671bbfbbf9edbd8aaeYou are amazing, elon mask is talking about us#BTC      #BabyDoge  #Binance     #BSCGem #bscscan  #shıbhttps://t.co/5uTCNmhpQP",1,1,2021-07-20 23:38:18
35,Dana M,@dana_marlane,809,749,"If $btc loses $25K, next stop would be $15-$16K. We need to see some serious volume here soon. #Bitcoin https://t.co/n1o9v1Axda",6,2,2021-07-20 23:37:48
36,Evan Kirstel the $B2B Techfluencer,@EvanKirstel,276857,303318,"𝐓𝐨𝐦𝐨𝐫𝐫𝐨𝐰, @CathieDWood, @Jack, and @elonmusk discuss all things #Bitcoin . Join live for #TheBWordRegistration and more information: https://t.co/DVl6f3TKSO cc @jeffpulver @jowyang #cryptocurrency #btc https://t.co/z6jg3vzFVU",6,2,2021-07-20 23:36:59
37,Mr CryptoBTC,@CryptobtcMr,11,58,BTC ON 1W  WILL CLOSE ABOVE 50 MA - #BTCUSDT chart https://t.co/OpY18GAXyB,48,49,2021-07-20 23:36:56
38,Nick ⓣ 🇦🇺 🇹🇭 🇯🇵 🇻🇳,@VooDooRoo,526,309,Todays the day...Get in NOW at $0.000000000003All time high     $0.00000735#trip $Trip #BTC  #ETH #XRP https://t.co/r4gUMvAX9o,4,1,2021-07-20 23:36:50
39,Anonymous Crypto Insider,@cryptoinsider88,0,1336,"This token is up 6,600 % within 24 hours....Keep in mind, most tokens are crashing right nowMy followers' grandchildren are now hedge fund trust babies.follow this account to not miss out on Bullrun Tokens.#doge #SHIB #shiba #SHIBARMY #dogearmy #bitcoin #btc #cryptocrash https://t.co/Wg4oID4xVD https://t.co/3xDtqm5YkM",8,2,2021-07-20 23:36:39
40,Cajun Trader ✪,@RaginCajun,920,16102,$BTC still cheap. I'm told this is the only #bitcoin chart that matters. https://t.co/ZKcQ35cv5R,9,1,2021-07-20 23:36:05
41,Maciej Cudera,@MCudera,804,5600,$FEG rank at @CoinGecko vs $FEG combined Market Cap (#FEGchart)To buy on https://t.co/syBV0bKwrF or:$FEG #ETH at @Uniswap$FEG #BSC at @PancakeSwap@FEGtoken #FEG #FEGex #FEGtrack #altcoin #altseason #blockchain #BNB #ETH #BTC #DeFi #ERC20 #BEP20 #PassiveIncome #FEGArmy #IamFEG https://t.co/HUJkdHHHKB,79,21,2021-07-20 23:35:56
42,Bella 🥰🥰,@bella_bratty,2,281,I want my crypto portfolio to grow… and you’re going to make that happen loser xoDm for my wallet [ findom findomme ETH domme UKfindom GamerGirl BTC crypto ] https://t.co/KAggyclPzB,6,1,2021-07-20 23:35:32
43,Joseph Madding,@TheVisionEx,385,682,"The best thing about #investing in #crypto RIGHT NOW is that if everyone thinks you're wrong, you know you're getting a great price.Those who #DCA on their buy orders are always going to get a better value while others fear buying in.$ETH $BTC $SAND $AXS #blockchain https://t.co/2Fe7SLK7U3",6,2,2021-07-20 23:35:05
44,🆗,@Kosmatos,1896,2113,"When I walk around and see beautiful expensive homes and mansions, I *know* in a few years (say 4 to 10) that these will be going for about 1 BTC. Same as I figured back in 2013 (tweeted) that someday a new Tesla could be acquired for 1 BTC. Because I’m smart? No. B/c bitcoin is.",4,1,2021-07-20 23:33:03
