,Name,User Name,Following,Followers,Tweet,Favorite,RT,created at
0,Rare Pepe News,@rarepepenews,1728,1359,"#RAREPEPE Card 1 Series 1 Rare Pepe currently up for sale on #OpenSea for 25.555 $ETHWe also have a private vendor sale we are brokering, priced at $55,777 USD, payment in $BTC, $DAI or $USDT.https://t.co/ymqlBlB5Wp",7,1,2021-07-29 23:59:09
1,Thinking Crypto - YouTube Channel & Podcast,@ThinkingCrypto1,1489,50091,"This is not guaranteed but I believe there is a high probability of it happening.#Bitcoin will double peak this year like it did in 2013 bull market. I think it passes $100KWhat I'm very curious about is #Altcoin prices when BTC hits $100K, I think they will be off the charts",144,8,2021-07-29 23:58:50
2,Apegineer,@apegineer,100,1786,@TheCryptoDog lol $BTC a $40k stablecoin or what?,19,0,2021-07-29 23:58:46
3,Pentoshi Wont DM You,@Pentosh1,370,206674,"Full disclosure, I've sold off 35% of my spot buys in total nowI will add back on purple if we get it, or if we can flip this 40.7k to supportIt's a frustrating spot bc we are 100% at HTF resistance and 1D looks exhausted but the lower time frames look like they want up $BTC https://t.co/ypSWzUQVwx",254,12,2021-07-29 23:58:38
4,Ξ LitBit Ξ,@bittybitbit86,5469,5146,"We break up above this 3 months range then it becomes serious serious support, we dump below it then it becomes serious serous resistance. $btc https://t.co/YjguhsS3af",5,1,2021-07-29 23:58:27
5,Crypto D✍,@DexterVro,351,1750,Bulls V Bears in full action with the last few minutes going into this close.Still short with appropriate stop loss set.Everyone's giga bullish on my feed right now and its kinda weird$BTC,6,0,2021-07-29 23:57:56
6,₿en Graℏam,@bengrahamrocks,107,1709,"Dang, so many coins look ready to pump...I'm ready!   Lets do it!!#BTC #HBAR #DOGE #ALGO #MATIC #VTHO #ONE #STAK",24,2,2021-07-29 23:57:37
7,Johnny One Punch 👊 Man 🇸🇻,@DR6am,4431,5071,$xyo You're next 🌋🚀🌛💯#altcoins #altseason #crypto #cryptocurrencies $eth $btc https://t.co/Jf7xqA9SVA https://t.co/BnANyBOEHE,15,4,2021-07-29 23:57:35
8,Crypto Leo,@Cryptolouca,1102,37212,HTF $BTC oscillators are going to really surprise a lot of charters soon.Simple zoom out shows enough.,10,0,2021-07-29 23:57:19
9,Deribot,@Deribit_Alerts,1,2403,"🔔 Big trade (BTC-27AUG21) $1,000,000 of $BTC bought at $40335.00(29 Jul 2021 23:53:49 UTC)",32,5,2021-07-29 23:57:17
